time,center_bubbles_px,nivel_x,nivel_y,nivel_t,temperature,watch_indicator
04:05.5,None,NaN,NaN,NaN,24.375,None
04:06.3,None,NaN,NaN,NaN,24.375,None
04:07.0,None,NaN,NaN,NaN,24.375,None
04:07.7,None,NaN,NaN,NaN,24.4375,None
04:08.4,None,NaN,NaN,NaN,24.375,None
04:09.2,None,NaN,NaN,NaN,24.375,None
04:09.9,None,NaN,NaN,NaN,24.375,None
04:10.6,None,NaN,NaN,NaN,24.375,None
04:11.3,None,NaN,NaN,NaN,24.375,None
04:12.0,None,NaN,NaN,NaN,24.375,None
04:12.7,None,NaN,NaN,NaN,24.375,None
04:13.5,None,NaN,NaN,NaN,24.375,None
04:14.2,None,NaN,NaN,NaN,24.375,None
04:14.9,None,NaN,NaN,NaN,24.375,None
04:15.6,None,NaN,NaN,NaN,24.375,None
04:16.3,None,NaN,NaN,NaN,24.375,None
04:17.1,None,NaN,NaN,NaN,24.375,None
04:17.8,None,NaN,NaN,NaN,24.375,None
04:18.5,None,NaN,NaN,NaN,24.375,None
04:19.2,None,NaN,NaN,NaN,24.375,None
04:19.9,None,NaN,NaN,NaN,24.375,None
04:20.7,None,NaN,NaN,NaN,24.375,None
04:21.4,None,NaN,NaN,NaN,24.375,None
04:22.2,None,NaN,NaN,NaN,24.375,None
04:22.9,None,NaN,NaN,NaN,24.4375,None
04:23.6,None,NaN,NaN,NaN,24.375,None
04:24.3,None,NaN,NaN,NaN,24.375,None
04:25.1,None,NaN,NaN,NaN,24.375,None
04:25.8,None,NaN,NaN,NaN,24.375,None
04:26.5,None,NaN,NaN,NaN,24.375,None
04:27.2,None,NaN,NaN,NaN,24.375,None
04:28.0,None,NaN,NaN,NaN,24.375,None
04:28.7,None,NaN,NaN,NaN,24.375,None
04:29.4,None,NaN,NaN,NaN,24.375,None
04:30.1,None,NaN,NaN,NaN,24.4375,None
04:30.9,None,NaN,NaN,NaN,24.375,None
04:31.6,None,NaN,NaN,NaN,24.375,None
04:32.3,None,NaN,NaN,NaN,24.375,None
04:33.0,None,NaN,NaN,NaN,24.375,None
04:33.8,None,NaN,NaN,NaN,24.375,None
04:34.5,None,NaN,NaN,NaN,24.375,None
04:35.2,None,NaN,NaN,NaN,24.4375,None
04:35.9,None,NaN,NaN,NaN,24.375,None
04:36.7,None,NaN,NaN,NaN,24.375,None
04:37.4,None,NaN,NaN,NaN,24.375,None
04:38.1,None,NaN,NaN,NaN,24.4375,None
04:38.8,None,NaN,NaN,NaN,24.4375,None
04:39.5,None,NaN,NaN,NaN,24.375,None
04:40.2,None,NaN,NaN,NaN,24.375,None
04:41.0,None,NaN,NaN,NaN,24.375,None
04:41.7,None,NaN,NaN,NaN,24.375,None
04:42.4,None,NaN,NaN,NaN,24.4375,None
04:43.1,None,NaN,NaN,NaN,24.4375,None
04:43.8,None,NaN,NaN,NaN,24.375,None
04:44.6,None,NaN,NaN,NaN,24.375,None
04:45.3,None,NaN,NaN,NaN,24.4375,None
04:46.0,None,NaN,NaN,NaN,24.375,None
04:46.7,None,NaN,NaN,NaN,24.375,None
04:47.5,None,NaN,NaN,NaN,24.375,None
04:48.2,None,NaN,NaN,NaN,24.375,None
04:48.9,None,NaN,NaN,NaN,24.375,None
04:49.6,None,NaN,NaN,NaN,24.375,None
04:50.3,None,NaN,NaN,NaN,24.375,None
04:51.1,None,NaN,NaN,NaN,24.4375,None
04:51.8,None,NaN,NaN,NaN,24.375,None
04:52.6,None,NaN,NaN,NaN,24.4375,None
04:53.3,None,NaN,NaN,NaN,24.4375,None
04:54.0,None,NaN,NaN,NaN,24.4375,None
04:54.7,None,NaN,NaN,NaN,24.4375,None
04:55.4,None,NaN,NaN,NaN,24.4375,None
04:56.2,None,NaN,NaN,NaN,24.4375,None
04:56.9,None,NaN,NaN,NaN,24.4375,None
04:57.6,None,NaN,NaN,NaN,24.4375,None
04:58.3,None,NaN,NaN,NaN,24.375,None
04:59.0,None,NaN,NaN,NaN,24.4375,None
04:59.7,None,NaN,NaN,NaN,24.4375,None
05:00.5,None,NaN,NaN,NaN,24.4375,None
05:01.2,None,NaN,NaN,NaN,24.5,None
05:01.9,None,NaN,NaN,NaN,24.4375,None
05:02.6,None,NaN,NaN,NaN,24.4375,None
05:03.4,None,NaN,NaN,NaN,24.4375,None
05:04.1,None,NaN,NaN,NaN,24.4375,None
05:04.8,None,NaN,NaN,NaN,24.4375,None
05:05.5,None,NaN,NaN,NaN,24.4375,None
05:06.3,None,NaN,NaN,NaN,24.4375,None
05:07.0,None,NaN,NaN,NaN,24.4375,None
05:07.7,None,NaN,NaN,NaN,24.4375,None
