time,center_bubbles_px,nivel_x,nivel_y,nivel_t,temperature,watch_indicator
13:42.6,None,NaN,NaN,NaN,24.4375,None
13:43.6,None,NaN,NaN,NaN,24.4375,None
13:44.5,None,NaN,NaN,NaN,24.4375,None
13:45.5,None,NaN,NaN,NaN,24.4375,None
13:46.6,None,NaN,NaN,NaN,24.4375,None
13:47.6,None,NaN,NaN,NaN,24.4375,None
13:48.5,None,NaN,NaN,NaN,24.4375,None
13:49.5,None,NaN,NaN,NaN,24.4375,None
13:50.6,None,NaN,NaN,NaN,24.4375,None
13:51.6,None,NaN,NaN,NaN,24.4375,None
13:52.6,None,NaN,NaN,NaN,24.4375,None
13:53.5,None,NaN,NaN,NaN,24.4375,None
13:54.6,None,NaN,NaN,NaN,24.4375,None
13:55.6,None,NaN,NaN,NaN,24.4375,None
13:56.6,None,NaN,NaN,NaN,24.375,None
13:57.5,None,NaN,NaN,NaN,24.4375,None
13:58.5,None,NaN,NaN,NaN,24.375,None
13:59.6,None,NaN,NaN,NaN,24.4375,None
14:00.6,None,NaN,NaN,NaN,24.4375,None
14:01.5,None,NaN,NaN,NaN,24.4375,None
14:02.6,None,NaN,NaN,NaN,24.4375,None
14:03.6,None,NaN,NaN,NaN,24.4375,None
14:04.6,None,NaN,NaN,NaN,24.4375,None
14:05.5,None,NaN,NaN,NaN,24.4375,None
14:06.5,None,NaN,NaN,NaN,24.5,None
14:07.6,None,NaN,NaN,NaN,24.4375,None
14:08.6,None,NaN,NaN,NaN,24.4375,None
14:09.6,None,NaN,NaN,NaN,24.4375,None
14:10.5,None,NaN,NaN,NaN,24.4375,None
14:11.6,None,NaN,NaN,NaN,24.4375,None
14:12.6,None,NaN,NaN,NaN,24.4375,None
14:13.6,None,NaN,NaN,NaN,24.4375,None
14:14.5,None,NaN,NaN,NaN,24.4375,None
14:15.6,None,NaN,NaN,NaN,24.4375,None
14:16.6,None,NaN,NaN,NaN,24.4375,None
14:17.6,None,NaN,NaN,NaN,24.4375,None
14:18.5,None,NaN,NaN,NaN,24.4375,None
14:19.5,None,NaN,NaN,NaN,24.4375,None
14:20.6,None,NaN,NaN,NaN,24.5,None
14:21.6,None,NaN,NaN,NaN,24.4375,None
14:22.6,None,NaN,NaN,NaN,24.4375,None
14:23.5,None,NaN,NaN,NaN,24.4375,None
14:24.6,None,NaN,NaN,NaN,24.5,None
14:25.6,None,NaN,NaN,NaN,24.5,None
14:26.6,None,NaN,NaN,NaN,24.5,None
14:27.5,None,NaN,NaN,NaN,24.5,None
14:28.6,None,NaN,NaN,NaN,24.4375,None
14:29.6,None,NaN,NaN,NaN,24.5,None
14:30.6,None,NaN,NaN,NaN,24.5625,None
14:31.5,None,NaN,NaN,NaN,24.5,None
14:32.5,None,NaN,NaN,NaN,24.5,None
14:33.6,None,NaN,NaN,NaN,24.5,None
14:34.6,None,NaN,NaN,NaN,24.5,None
14:35.6,None,NaN,NaN,NaN,24.5,None
14:36.5,None,NaN,NaN,NaN,24.5,None
14:37.6,None,NaN,NaN,NaN,24.5,None
14:38.6,None,NaN,NaN,NaN,24.5,None
14:39.6,None,NaN,NaN,NaN,24.5,None
14:40.5,None,NaN,NaN,NaN,24.5,None
14:41.6,None,NaN,NaN,NaN,24.5,None
14:42.6,None,NaN,NaN,NaN,24.5625,None
14:43.6,None,NaN,NaN,NaN,24.5625,None
14:44.5,None,NaN,NaN,NaN,24.5625,None
14:45.6,None,NaN,NaN,NaN,24.5625,None
14:46.6,None,NaN,NaN,NaN,24.5625,None
14:47.6,None,NaN,NaN,NaN,24.5,None
14:48.6,None,NaN,NaN,NaN,24.5,None
14:49.6,None,NaN,NaN,NaN,24.5625,None
14:50.6,None,NaN,NaN,NaN,24.5625,None
14:51.6,None,NaN,NaN,NaN,24.5625,None
14:52.6,None,NaN,NaN,NaN,24.5625,None
14:53.5,None,NaN,NaN,NaN,24.5625,None
14:54.6,None,NaN,NaN,NaN,24.5625,None
14:55.6,None,NaN,NaN,NaN,24.5,None
14:56.6,None,NaN,NaN,NaN,24.5,None
14:57.5,None,NaN,NaN,NaN,24.5625,None
14:58.6,None,NaN,NaN,NaN,24.5,None
14:59.6,None,NaN,NaN,NaN,24.5625,None
15:00.6,None,NaN,NaN,NaN,24.625,None
15:01.6,None,NaN,NaN,NaN,24.5625,None
15:02.5,None,NaN,NaN,NaN,24.5625,None
15:03.6,None,NaN,NaN,NaN,24.5625,None
15:04.6,None,NaN,NaN,NaN,24.625,None
15:05.6,None,NaN,NaN,NaN,24.5625,None
15:06.6,None,NaN,NaN,NaN,24.5625,None
15:07.6,None,NaN,NaN,NaN,24.5625,None
15:08.6,None,NaN,NaN,NaN,24.5625,None
15:09.6,None,NaN,NaN,NaN,24.5625,None
15:10.5,None,NaN,NaN,NaN,24.5625,None
15:11.6,None,NaN,NaN,NaN,24.5625,None
15:12.6,None,NaN,NaN,NaN,24.5625,None
15:13.6,None,NaN,NaN,NaN,24.5625,None
15:14.5,None,NaN,NaN,NaN,24.625,None
15:15.6,None,NaN,NaN,NaN,24.5625,None
15:16.6,None,NaN,NaN,NaN,24.5625,None
15:17.6,None,NaN,NaN,NaN,24.625,None
15:18.6,None,NaN,NaN,NaN,24.625,None
15:19.6,None,NaN,NaN,NaN,24.625,None
15:20.6,None,NaN,NaN,NaN,24.625,None
15:21.6,None,NaN,NaN,NaN,24.5625,None
15:22.6,None,NaN,NaN,NaN,24.625,None
15:23.5,None,NaN,NaN,NaN,24.625,None
15:24.6,None,NaN,NaN,NaN,24.625,None
15:25.6,None,NaN,NaN,NaN,24.625,None
15:26.6,None,NaN,NaN,NaN,24.625,None
15:27.6,None,NaN,NaN,NaN,24.625,None
15:28.6,948.5,NaN,NaN,NaN,24.625,None
15:29.6,948.5,NaN,NaN,NaN,24.625,None
15:30.6,None,NaN,NaN,NaN,24.625,None
15:31.7,None,NaN,NaN,NaN,24.625,None
15:32.6,None,NaN,NaN,NaN,24.625,None
15:33.6,None,NaN,NaN,NaN,24.625,None
15:34.6,None,NaN,NaN,NaN,24.625,None
15:35.7,None,NaN,NaN,NaN,24.625,None
15:36.5,None,NaN,NaN,NaN,24.625,None
15:37.6,None,NaN,NaN,NaN,24.625,None
15:38.6,None,NaN,NaN,NaN,24.625,None
15:39.6,None,NaN,NaN,NaN,24.625,None
15:40.5,None,NaN,NaN,NaN,24.625,None
15:41.6,None,NaN,NaN,NaN,24.625,None
15:42.6,401,NaN,NaN,NaN,24.625,None
15:43.6,477,NaN,NaN,NaN,24.625,None
15:44.6,336.5,NaN,NaN,NaN,24.625,None
15:45.6,339.5,NaN,NaN,NaN,24.625,None
15:46.6,339,NaN,NaN,NaN,24.6875,None
15:47.6,339,NaN,NaN,NaN,24.625,None
15:48.7,339.5,NaN,NaN,NaN,24.625,None
15:49.6,347.5,NaN,NaN,NaN,24.6875,None
15:50.6,361.5,NaN,NaN,NaN,24.6875,None
15:51.6,477,NaN,NaN,NaN,24.625,None
15:52.6,361.5,NaN,NaN,NaN,24.625,None
15:53.6,362.5,NaN,NaN,NaN,24.625,None
15:54.6,361.5,NaN,NaN,NaN,24.625,None
15:55.6,362,NaN,NaN,NaN,24.625,None
15:56.6,477,NaN,NaN,NaN,24.625,None
